Step,MAPE,Lookback,Horizon,Input_Set
1,2.1132387220859528,63,63,FULL
2,2.3004088550806046,63,63,FULL
3,2.4941151961684227,63,63,FULL
4,2.637272886931896,63,63,FULL
5,2.8125539422035217,63,63,FULL
6,2.9262542724609375,63,63,FULL
7,3.0348967760801315,63,63,FULL
8,3.204594925045967,63,63,FULL
9,3.320278599858284,63,63,FULL
10,3.4405961632728577,63,63,FULL
11,3.5834670066833496,63,63,FULL
12,3.6689724773168564,63,63,FULL
13,3.7858787924051285,63,63,FULL
14,3.842153772711754,63,63,FULL
15,3.924611583352089,63,63,FULL
16,4.037534445524216,63,63,FULL
17,4.124076664447784,63,63,FULL
18,4.212686792016029,63,63,FULL
19,4.313256964087486,63,63,FULL
20,4.366293177008629,63,63,FULL
21,4.474334046244621,63,63,FULL
22,4.564462974667549,63,63,FULL
23,4.681270942091942,63,63,FULL
24,4.7599103301763535,63,63,FULL
25,4.864077642560005,63,63,FULL
26,4.962313175201416,63,63,FULL
27,5.064977332949638,63,63,FULL
28,5.0919681787490845,63,63,FULL
29,5.153262615203857,63,63,FULL
30,5.3177982568740845,63,63,FULL
31,5.41347824037075,63,63,FULL
32,5.526810139417648,63,63,FULL
33,5.651089176535606,63,63,FULL
34,5.807206779718399,63,63,FULL
35,5.896250158548355,63,63,FULL
36,5.91357909142971,63,63,FULL
37,6.058505550026894,63,63,FULL
38,6.176371872425079,63,63,FULL
39,6.265842169523239,63,63,FULL
40,6.383242458105087,63,63,FULL
41,6.453999876976013,63,63,FULL
42,6.5316639840602875,63,63,FULL
43,6.630215793848038,63,63,FULL
44,6.7162588238716125,63,63,FULL
45,6.856054812669754,63,63,FULL
46,6.937762349843979,63,63,FULL
47,7.0137836039066315,63,63,FULL
48,7.026895135641098,63,63,FULL
49,7.103453576564789,63,63,FULL
50,7.143609970808029,63,63,FULL
51,7.248947769403458,63,63,FULL
52,7.377869635820389,63,63,FULL
53,7.424915581941605,63,63,FULL
54,7.446396350860596,63,63,FULL
55,7.53345713019371,63,63,FULL
56,7.676691561937332,63,63,FULL
57,7.90070965886116,63,63,FULL
58,8.02532210946083,63,63,FULL
59,8.192284405231476,63,63,FULL
60,8.262970298528671,63,63,FULL
61,8.327095210552216,63,63,FULL
62,8.38661715388298,63,63,FULL
63,8.537987619638443,63,63,FULL
