horizon,lookback,feature,ipr2
1,10,Copper,-0.0014795012648691538
1,10,Nickel,-0.0016941993313491326
1,10,Zinc,-0.004655922601598039
1,10,Tin,-0.0026299010161142215
1,10,Lead,-0.0019207288892648874
1,22,Copper,0.001788221343330787
1,22,Nickel,-0.0008392076915712202
1,22,Zinc,-0.0038365033928145394
1,22,Tin,-0.002485293416846824
1,22,Lead,-0.002702858041521151
1,63,Copper,0.0028040006288768465
1,63,Nickel,-0.0003562426722358847
1,63,Zinc,-0.003271625498960629
1,63,Tin,0.00041212419172571586
1,63,Lead,-0.0021767171152370594
5,10,Copper,0.0022410748734052327
5,10,Nickel,-0.007076726664003184
5,10,Zinc,-0.015935531881536534
5,10,Tin,0.008373197499279034
5,10,Lead,-0.009988274801612726
5,22,Copper,0.008653900545870098
5,22,Nickel,-0.0014498588840239773
5,22,Zinc,-0.012052861177114946
5,22,Tin,-0.009590276215681579
5,22,Lead,-0.013121694471587259
5,63,Copper,0.009731668694600917
5,63,Nickel,-0.0004978631501909338
5,63,Zinc,-0.012323721968138666
5,63,Tin,0.004309984121342474
5,63,Lead,-0.01007538076527039
10,10,Copper,0.016090812720835262
10,10,Nickel,-0.009793510326024366
10,10,Zinc,-0.02074575541707452
10,10,Tin,-0.004533950563876982
10,10,Lead,-0.02714035819599042
10,22,Copper,0.011912329705943817
10,22,Nickel,-0.008143214157638176
10,22,Zinc,-0.01886017747788858
10,22,Tin,-0.013281446496988203
10,22,Lead,-0.02543166999899049
10,63,Copper,0.013692971080946567
10,63,Nickel,0.0007448077216844207
10,63,Zinc,-0.019011875691204105
10,63,Tin,0.010981470589973494
10,63,Lead,-0.014087412774361048
22,10,Copper,0.0015890747275093542
22,10,Nickel,0.04807318160065727
22,10,Zinc,0.021032955888307614
22,10,Tin,0.03870041834992155
22,10,Lead,-0.038536750299110606
22,22,Copper,0.019789029574567463
22,22,Nickel,-0.007884030015311128
22,22,Zinc,-0.04774276264988586
22,22,Tin,-0.0036638059125001232
22,22,Lead,-0.05205426754469575
22,63,Copper,0.019133419964788442
22,63,Nickel,0.0014901149586201007
22,63,Zinc,-0.03524774592954642
22,63,Tin,0.027823229437150307
22,63,Lead,-0.02022489096485615
63,10,Copper,0.01058570798797659
63,10,Nickel,-0.009013176174884119
63,10,Zinc,-0.04591614777959385
63,10,Tin,0.016682441016752647
63,10,Lead,-0.05967327806148731
63,22,Copper,0.03545686888277211
63,22,Nickel,-0.021393098827945323
63,22,Zinc,-0.0937442732518663
63,22,Tin,0.03594988611885275
63,22,Lead,-0.06575049686306672
63,63,Copper,-0.6784657836746135
63,63,Nickel,-0.61571768203986
63,63,Zinc,0.3531989868380476
63,63,Tin,1.1349322732786047
63,63,Lead,-0.4867150440870618
