Step,MAPE,Lookback,Horizon,Input_Set
1,2.7881430462002754,10,63,FULL
2,2.960951067507267,10,63,FULL
3,2.90228221565485,10,63,FULL
4,3.159993141889572,10,63,FULL
5,3.1114745885133743,10,63,FULL
6,3.3010419458150864,10,63,FULL
7,3.2947279512882233,10,63,FULL
8,3.4401383250951767,10,63,FULL
9,3.4200970083475113,10,63,FULL
10,3.5093534737825394,10,63,FULL
11,3.50283645093441,10,63,FULL
12,3.600151836872101,10,63,FULL
13,3.676050901412964,10,63,FULL
14,3.7484999746084213,10,63,FULL
15,3.862161561846733,10,63,FULL
16,3.9787206798791885,10,63,FULL
17,3.9893213659524918,10,63,FULL
18,4.091685265302658,10,63,FULL
19,4.120549559593201,10,63,FULL
20,4.221658036112785,10,63,FULL
21,4.235891252756119,10,63,FULL
22,4.345125332474709,10,63,FULL
23,4.418238252401352,10,63,FULL
24,4.488861188292503,10,63,FULL
25,4.5449089258909225,10,63,FULL
26,4.577247425913811,10,63,FULL
27,4.692337661981583,10,63,FULL
28,4.724390059709549,10,63,FULL
29,4.80300709605217,10,63,FULL
30,4.818057641386986,10,63,FULL
31,4.9497339874506,10,63,FULL
32,5.009570345282555,10,63,FULL
33,5.104042217135429,10,63,FULL
34,5.135800689458847,10,63,FULL
35,5.250957980751991,10,63,FULL
36,5.318870767951012,10,63,FULL
37,5.4368142038583755,10,63,FULL
38,5.543599650263786,10,63,FULL
39,5.579535290598869,10,63,FULL
40,5.625450238585472,10,63,FULL
41,5.68714439868927,10,63,FULL
42,5.763546749949455,10,63,FULL
43,5.817821249365807,10,63,FULL
44,5.815684795379639,10,63,FULL
45,5.918038636445999,10,63,FULL
46,6.0097623616456985,10,63,FULL
47,6.072899699211121,10,63,FULL
48,6.079323589801788,10,63,FULL
49,6.246107071638107,10,63,FULL
50,6.153944507241249,10,63,FULL
51,6.530258804559708,10,63,FULL
52,6.383340060710907,10,63,FULL
53,6.385587155818939,10,63,FULL
54,6.5765030682086945,10,63,FULL
55,6.615927070379257,10,63,FULL
56,6.594233959913254,10,63,FULL
57,6.723111122846603,10,63,FULL
58,6.7910149693489075,10,63,FULL
59,6.857682764530182,10,63,FULL
60,6.852804124355316,10,63,FULL
61,7.180263102054596,10,63,FULL
62,7.035589218139648,10,63,FULL
63,7.112264633178711,10,63,FULL
