Step,MAPE,Lookback,Horizon,Input_Set
1,3.4817688167095184,22,63,FULL
2,3.4660406410694122,22,63,FULL
3,3.5425473004579544,22,63,FULL
4,3.700324520468712,22,63,FULL
5,3.6085862666368484,22,63,FULL
6,3.5922549664974213,22,63,FULL
7,3.628110885620117,22,63,FULL
8,3.745684027671814,22,63,FULL
9,3.6451853811740875,22,63,FULL
10,3.7462346255779266,22,63,FULL
11,3.8398806005716324,22,63,FULL
12,3.968549892306328,22,63,FULL
13,3.9582300931215286,22,63,FULL
14,3.9871729910373688,22,63,FULL
15,3.9862308651208878,22,63,FULL
16,4.020528867840767,22,63,FULL
17,4.107138141989708,22,63,FULL
18,4.17410172522068,22,63,FULL
19,4.294168576598167,22,63,FULL
20,4.295534640550613,22,63,FULL
21,4.4180382043123245,22,63,FULL
22,4.424920678138733,22,63,FULL
23,4.442453384399414,22,63,FULL
24,4.546927660703659,22,63,FULL
25,4.574275016784668,22,63,FULL
26,4.669647291302681,22,63,FULL
27,4.7181278467178345,22,63,FULL
28,4.764818772673607,22,63,FULL
29,4.914044216275215,22,63,FULL
30,4.951284825801849,22,63,FULL
31,5.063185840845108,22,63,FULL
32,5.067726597189903,22,63,FULL
33,5.191976577043533,22,63,FULL
34,5.211496725678444,22,63,FULL
35,5.320253968238831,22,63,FULL
36,5.361711606383324,22,63,FULL
37,5.431727692484856,22,63,FULL
38,5.529100447893143,22,63,FULL
39,5.516953393816948,22,63,FULL
40,5.582739785313606,22,63,FULL
41,5.71780726313591,22,63,FULL
42,5.778505653142929,22,63,FULL
43,5.784144997596741,22,63,FULL
44,5.832128599286079,22,63,FULL
45,5.939580127596855,22,63,FULL
46,5.980376154184341,22,63,FULL
47,6.029120460152626,22,63,FULL
48,6.084095686674118,22,63,FULL
49,6.192103773355484,22,63,FULL
50,6.19422048330307,22,63,FULL
51,6.387607753276825,22,63,FULL
52,6.518399715423584,22,63,FULL
53,6.38481080532074,22,63,FULL
54,6.601801514625549,22,63,FULL
55,6.525076180696487,22,63,FULL
56,6.701836735010147,22,63,FULL
57,6.779325753450394,22,63,FULL
58,6.9238826632499695,22,63,FULL
59,7.107912003993988,22,63,FULL
60,7.090997695922852,22,63,FULL
61,7.133999466896057,22,63,FULL
62,7.401737570762634,22,63,FULL
63,7.1997009217739105,22,63,FULL
