Step,MAPE,Lookback,Horizon,Input_Set
1,1.6820736229419708,10,22,FULL
2,1.8461979925632477,10,22,FULL
3,2.059636078774929,10,22,FULL
4,2.232350967824459,10,22,FULL
5,2.388767898082733,10,22,FULL
6,2.5328170508146286,10,22,FULL
7,2.6502320542931557,10,22,FULL
8,2.7608683332800865,10,22,FULL
9,2.8649933636188507,10,22,FULL
10,2.983229048550129,10,22,FULL
11,3.091481700539589,10,22,FULL
12,3.1807951629161835,10,22,FULL
13,3.3307578414678574,10,22,FULL
14,3.4289877861738205,10,22,FULL
15,3.5571537911891937,10,22,FULL
16,3.630838543176651,10,22,FULL
17,3.721248358488083,10,22,FULL
18,3.85199636220932,10,22,FULL
19,3.9293885231018066,10,22,FULL
20,4.003476724028587,10,22,FULL
21,4.165681824088097,10,22,FULL
22,4.245375841856003,10,22,FULL
