Lookback,Horizon,Reference,Compared_Model,DM_stat,p_value,Significant_5pct,Significant_1pct
10,5,FULL,w/o_Tin_Zinc,-11.558087374267853,0.0,True,True
10,5,FULL,w/o_Zinc,-8.20597798704069,4.440892098500626e-16,True,True
10,10,FULL,w/o_Copper,4.984814963306602,6.355135453439686e-07,True,True
10,10,FULL,w/o_Copper_Lead,-0.7740936429978065,0.43890225318843634,False,False
10,10,FULL,w/o_Copper_Lead_Nickel,6.182226902319396,6.685199060996183e-10,True,True
10,10,FULL,w/o_Copper_Lead_Nickel_Tin,4.314629165412186,1.62128246954385e-05,True,True
10,10,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,-5.134302847625327,2.9103304832744925e-07,True,True
10,10,FULL,w/o_Copper_Lead_Nickel_Zinc,1.0413227400606258,0.29776270399853555,False,False
10,10,FULL,w/o_Copper_Lead_Tin,-3.779603285269186,0.00015841842319175292,True,True
10,10,FULL,w/o_Copper_Lead_Tin_Zinc,-12.538660043099105,0.0,True,True
10,10,FULL,w/o_Copper_Lead_Zinc,-0.17958474727379425,0.8574839157485488,False,False
10,10,FULL,w/o_Copper_Nickel,6.2735009822071,3.746298826712291e-10,True,True
10,10,FULL,w/o_Copper_Nickel_Tin,4.409558207453597,1.051716330380259e-05,True,True
10,10,FULL,w/o_Copper_Nickel_Tin_Zinc,-13.262474142920476,0.0,True,True
10,10,FULL,w/o_Copper_Nickel_Zinc,7.093152356079065,1.4430678874077785e-12,True,True
10,10,FULL,w/o_Copper_Tin,5.00349561193539,5.770940942895209e-07,True,True
10,10,FULL,w/o_Copper_Tin_Zinc,-12.705122815482452,0.0,True,True
10,10,FULL,w/o_Copper_Zinc,-5.89847927781186,3.844228713134612e-09,True,True
10,10,FULL,w/o_Lead,-0.561124373733822,0.5747311915237394,False,False
10,10,FULL,w/o_Lead_Nickel,6.240172417306448,4.632809691429429e-10,True,True
10,10,FULL,w/o_Lead_Nickel_Tin,-1.4513545234336642,0.14672716789253126,False,False
10,10,FULL,w/o_Lead_Nickel_Tin_Zinc,-1.0590632130349755,0.2896085045842245,False,False
10,10,FULL,w/o_Lead_Nickel_Zinc,-2.146713539048445,0.03185126082691858,True,False
10,10,FULL,w/o_Lead_Tin,-6.070429875073487,1.3441376900402702e-09,True,True
10,10,FULL,w/o_Lead_Tin_Zinc,-6.972789892265258,3.3990588121923793e-12,True,True
10,10,FULL,w/o_Lead_Zinc,-5.599209500204241,2.237138785332604e-08,True,True
10,10,FULL,w/o_Nickel,4.081027385196429,4.534878653328356e-05,True,True
