Input_Set,Lookback,Horizon,MAE,RMSE,MAPE,sMAPE,NRMSE,Directional_Accuracy,AUHE,Train_Time_sec,Inference_Time_sec,Num_Parameters,Model_Size_MB,FLOPs
w/o_Copper_Tin,10,1,26.05938720703125,33.61896764256098,1.0625164024531841,1.0643979534506798,0.02917047198579004,0.4904831625183016,0.0,150.58941078186035,0.00031657211961801985,4257,0.016239166259765625,15632.0
w/o_Copper_Zinc,10,1,27.272907257080078,35.177193414532624,1.1111506260931492,1.113623008131981,0.03052250992450174,0.5065885797950219,0.0,152.98763251304626,0.00031688164549264293,4257,0.016239166259765625,15632.0
w/o_Copper_Nickel,10,1,28.810203552246094,36.89006577826881,1.1735296808183193,1.1760986410081387,0.032008732528851995,0.5095168374816984,0.0,110.08896708488464,0.00031844461173341986,4257,0.016239166259765625,15632.0
w/o_Lead,10,1,27.869699478149414,35.82795294060299,1.1337894015014172,1.136753335595131,0.031087161248262923,0.5065885797950219,0.0,131.58555340766907,0.00031903786965978075,4257,0.016239166259765625,19888.0
w/o_Tin,10,1,28.2869873046875,36.23669778831347,1.1555062606930733,1.156764943152666,0.031441820521158126,0.5212298682284041,0.0,114.47574305534363,0.0003180692070408871,4257,0.016239166259765625,19888.0
w/o_Zinc,10,1,27.851699829101562,35.94367643934831,1.1338957585394382,1.1365018784999847,0.031187571362145786,0.5021961932650073,0.0,127.35371017456055,0.00033175143582081935,4257,0.016239166259765625,19888.0
w/o_Nickel,10,1,28.181921005249023,36.56705700768282,1.1432566680014133,1.1487876065075397,0.03172846729998472,0.5021961932650073,0.0,133.43507361412048,0.0003180441103483501,4257,0.016239166259765625,19888.0
w/o_Copper,10,1,28.409133911132812,36.701658256133335,1.1472845450043678,1.1531240306794643,0.03184525827006505,0.5007320644216691,0.0,234.68632888793945,0.0014267619590313113,4257,0.016239166259765625,19888.0
FULL,10,1,27.576702117919922,35.55786917894371,1.1217810213565826,1.1251360177993774,0.030852814713682866,0.5153733528550513,0.0,458.05287075042725,0.0014992771092911213,4257,0.016239166259765625,24336.0
w/o_Copper_Lead_Nickel_Tin_Zinc,10,5,44.57057189941406,60.145120723754474,1.7837125808000565,1.7958831042051315,0.05218665729117234,0.471294669009959,7.1650460828095675,340.15712547302246,0.00032314234910911906,4325,0.016498565673828125,4080.0
w/o_Lead_Nickel_Tin_Zinc,10,5,41.12522888183594,54.254974840302665,1.6739774495363235,1.6801059246063232,0.04707589966614693,0.4715875805506737,6.721405079588294,128.10558199882507,0.0003254940708769188,4325,0.016498565673828125,7760.0
w/o_Copper_Lead_Tin_Zinc,10,5,57.70392608642578,73.6707234135871,2.2871851921081543,2.3206211626529694,0.06392253619212644,0.47041593438781487,9.160608425736427,104.18560695648193,0.0003174970998247406,4325,0.016498565673828125,7760.0
