,Copper,Nickel,Zinc,Tin,Lead
<5d,0.3991394789913948,0.33245029755246713,0.37581554600623224,0.19635448846770207,0.2978645968387322
5–10d,0.39971169822706876,0.2949297224702341,0.3582058806463583,0.19312092130829012,0.2778585610736876
10–22d,0.35380122338193615,0.2687215574441992,0.3401628168759417,0.18292420522986771,0.2884339599770896
22–63d,0.383543894720541,0.3587734749238323,0.4596468787195585,0.29647749240254934,0.2628008298673162
>63d,0.5108831612130842,0.32420513572207565,0.41488963286832525,0.4344649574002821,0.448878623246296
