,Copper,Nickel,Zinc,Tin,Lead
<5d,0.39913947952300755,0.33245029936893733,0.37581554634786246,0.19635448950301904,0.29786459769289725
5-10d,0.39971169319675137,0.2949297294614145,0.35820585136991423,0.19312091008700333,0.27785854481634686
10-22d,0.35380133839196753,0.26872147063426544,0.34016290829294243,0.18292414752685465,0.28843397670658516
22-63d,0.3835463159340303,0.3587788986280563,0.4596501092942204,0.2964830056225852,0.26279648872594913
>63d,0.5117068237603425,0.3172505273335618,0.39839510091786756,0.4283116643739137,0.4431294825855271
