Step,MAPE,Lookback,Horizon,Input_Set
1,1.7879702150821686,63,22,FULL
2,2.0237891003489494,63,22,FULL
3,2.2205211222171783,63,22,FULL
4,2.410995587706566,63,22,FULL
5,2.5842057541012764,63,22,FULL
6,2.765238843858242,63,22,FULL
7,2.919694222509861,63,22,FULL
8,3.080596402287483,63,22,FULL
9,3.243214637041092,63,22,FULL
10,3.3962488174438477,63,22,FULL
11,3.561769053339958,63,22,FULL
12,3.7122268229722977,63,22,FULL
13,3.8510851562023163,63,22,FULL
14,3.9965391159057617,63,22,FULL
15,4.129869490861893,63,22,FULL
16,4.265797510743141,63,22,FULL
17,4.391708970069885,63,22,FULL
18,4.524445161223412,63,22,FULL
19,4.671885445713997,63,22,FULL
20,4.800861701369286,63,22,FULL
21,4.938044026494026,63,22,FULL
22,5.0726063549518585,63,22,FULL
